,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,hour,Accident
0,-121.8037533,37.2278813,35,3200.0,18.0,8100.0,40.0,0,36.0,0.0,83,57,70.0,17.0,0
1,-121.79105990000002,37.22522319999999,25,3362.0,4.0,2550.0,29.0,0,26.0,0.07,67,47,57.0,7.0,0
2,-121.8622732,37.3414123,25,4400.0,42.0,7550.0,29.5,0,26.0,0.0,82,59,70.5,0.0,0
3,-121.9002176,37.3319623,25,1580.0,5.0,3000.0,29.5,0,26.0,0.02,69,49,59.0,19.0,0
4,-121.8607292,37.3580194,40,13100.0,281.0,29500.0,41.3,0,37.3,0.07,59,42,50.5,3.0,0
5,-121.9289375,37.3639472,40,2700.0,10.0,9950.0,42.0,0,38.0,0.05,73,53,63.0,11.0,0
6,-121.771281,37.299331,45,5400.0,32.0,22500.0,46.0,0,42.3,0.0,78,57,67.5,9.0,0
7,-121.8817068,37.3280854,30,3100.0,47.0,7300.0,36.0,0,32.0,0.0,82,60,71.0,5.0,0
8,-121.9057206,37.2883241,15,1350.0,2.0,2100.0,16.5,0,15.0,0.0,85,59,72.0,22.0,0
9,-121.8546785,37.3035143,35,8034.0,36.0,13500.0,38.5,0,35.5,0.06,74,52,63.0,16.0,0
10,-121.8676917,37.246838,30,2100.0,8.0,3150.0,34.0,0,31.0,0.06,60,44,52.0,6.0,0
11,-121.9700403,37.3231291,35,8450.0,218.0,35050.0,39.5,0,35.5,0.1,59,43,51.0,21.0,0
12,-121.8903011,37.2593936,30,5400.0,9.0,3850.0,34.5,0,31.0,0.0,83,57,70.0,0.0,0
13,-121.81906,37.3661718,25,2080.0,2.0,3800.0,29.5,0,26.5,0.07,59,42,50.5,15.0,0
14,-121.8420548,37.2769741,40,2350.0,18.0,13750.0,43.0,0,39.0,0.01,70,48,59.0,23.0,0
15,-121.8962342,37.30428273,25,2600.0,8.0,3500.0,31.0,1,25.0,0.17,58,42,50.0,18.0,1
16,-121.8690852,37.29828079999999,25,3520.0,9.0,3550.0,30.0,0,26.0,0.03,74,52,63.0,9.0,0
17,-121.7880668,37.2633678,45,9280.0,2.0,3600.0,48.3,0,43.3,0.0,84,58,71.0,19.0,0
