,Accident_Date,Accident_Time,LONGITUDE,LATITUDE,AStreet,BStreet,FatalInjuries,MajorInjuries,Involving,Nearest_Intersection,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs
0,2013-01-02,14:00:00.000Z,-121.93737949999999,37.25063906,DICKENS AV,SAMARITAN DR,0,1,0,DICKENS AV & SAMARITAN DR,35,4250,16,19900,39.0,0,35.0,0.17,58,42,50.0
1,2013-01-02,18:09:00.000Z,-121.83911950000001,37.3796997,PATT AV,WHITE RD,1,0,1,PATT AV & WHITE RD,35,3400,16,10250,39.0,0,36.0,0.17,58,42,50.0
2,2013-01-04,05:50:00.000Z,-121.8811707,37.27464511,HILLSDALE AV,NEWBERRY DR,0,1,2,HILLSDALE AV & NEWBERRY DR,35,1950,14,10100,38.0,0,34.0,0.12,58,42,50.0
3,2013-01-04,17:41:00.000Z,-121.9065865,37.36338547,FOURTH ST,GISH RD,0,1,0,517' north of FOURTH ST & GISH RD,25,1865,1,1600,25.0,0,22.0,0.12,58,42,50.0
4,2013-01-07,02:46:00.000Z,-121.88363229999999,37.32685645,FIRST ST,REED ST,1,0,0,240' south of FIRST ST & REED ST,20,3250,33,4300,21.5,0,19.5,0.12,58,42,50.0
5,2013-01-15,17:38:00.000Z,-121.85379579999999,37.35365137,ALUM ROCK AV,EASTGATE AV,0,1,2,ALUM ROCK AV & EASTGATE AV,35,3054,30,29000,41.0,0,36.0,0.08,58,42,50.0
6,2013-01-17,19:32:00.000Z,-121.84593059999999,37.34277067,KING RD,SINCLAIR FR,0,1,2,KING RD & SINCLAIR FR,35,8200,197,17650,36.3,0,32.5,0.07,59,42,50.5
7,2013-01-17,08:00:00.000Z,-121.8430265,37.37008225,CAPITOL AV,MCKEE RD,0,1,1,CAPITOL AV & MCKEE RD,35,18700,76,21150,40.0,0,36.0,0.07,59,42,50.5
8,2013-01-21,18:24:00.000Z,-121.8701071,37.31257391,MONTEREY RD,SAN JOSE AV,0,1,1,MONTEREY RD & SAN JOSE AV,25,3000,31,6350,30.5,0,27.5,0.07,59,42,50.5
9,2013-01-23,22:21:00.000Z,-121.80116629999999,37.23835635,CAMINO VERDE DR,INTERNATIONAL CI,0,2,0,159' west of CAMINO VERDE DR & INTERNATIONAL CI,25,3550,10,2900,30.0,0,27.5,0.1,59,42,50.5
10,2013-01-24,13:30:00.000Z,-121.8895376,37.24318382,BLOSSOM HILL RD,MERIDIAN AV,1,0,1,BLOSSOM HILL RD & MERIDIAN AV,35,8750,30,10800,39.3,0,36.0,0.19,60,43,51.5
11,2013-01-24,17:54:00.000Z,-121.9059777,37.3148808,LINCOLN AV,LONUS ST,0,1,1,185' south of LINCOLN AV & LONUS ST,25,1875,4,5300,27.0,0,25.0,0.19,60,43,51.5
12,2013-01-26,10:40:00.000Z,-121.8486271,37.3456072,KING RD,VIRGINIA PL,0,1,1,124' south of KING RD & VIRGINIA PL,35,4000,43,11400,37.0,0,34.0,0.11,59,45,52.0
13,2013-01-28,07:09:00.000Z,-121.84079640000002,37.27576619,BARONI AV,SNELL AV,0,1,0,BARONI AV & SNELL AV,40,2350,18,13750,43.0,0,39.0,0.06,60,44,52.0
14,2013-01-30,00:31:00.000Z,-121.89497320000001,37.27080122,HILLSDALE AV,JARVIS AV,0,1,0,150' east of HILLSDALE AV & JARVIS AV,35,4950,36,15700,39.0,0,35.5,0.04,61,42,51.5
15,2013-02-04,13:40:00.000Z,-121.79641509999999,37.32308712,STURLA DR,WHITE RD,0,1,0,115' north of STURLA DR & WHITE RD,40,9000,27,15200,43.5,0,39.0,0.09,62,43,52.5
16,2013-02-04,20:56:00.000Z,-121.98111499999999,37.32313437,PALACE DR,STEVENS CREEK BL,0,1,2,PALACE DR & STEVENS CREEK BL,30,3000,44,15000,37.0,0,32.0,0.09,62,43,52.5
17,2013-02-06,19:56:00.000Z,-121.8446173,37.35958425,JACKSON AV,LUZ AV,0,1,1,JACKSON AV & LUZ AV,35,7530,49,15150,38.5,0,35.0,0.1,61,44,52.5
18,2013-02-07,15:10:00.000Z,-121.8172558,37.34179261,CAPITOL AV,OCALA AV,0,1,2,CAPITOL AV & OCALA AV,30,2800,7,1500,32.5,0,28.0,0.11,61,45,53.0
19,2013-02-12,16:26:00.000Z,-121.8933384,37.31344108,DELMAS AV,SNYDER AV,0,1,0,DELMAS AV & SNYDER AV,25,2700,4,1200,27.5,0,24.0,0.15,63,45,54.0
20,2013-02-13,04:29:00.000Z,-121.8639081,37.35351921,ST JAMES ST,THIRTY FIRST ST,0,1,0,258' east of ST JAMES ST & THIRTY FIRST ST,25,5050,51,5150,28.5,0,25.0,0.09,63,46,54.5
21,2013-02-14,13:39:00.000Z,-121.77439809999998,37.23883149,BERNAL RD,MONTEREY RD,0,1,0,BERNAL RD & MONTEREY RD,40,1850,6,17600,42.0,0,36.0,0.22,63,45,54.0
22,2013-02-15,22:04:00.000Z,-121.79802,37.35001253,MARTEN AV,MT KENYA DR,0,4,0,MARTEN AV & MT KENYA DR,30,2250,5,6600,34.0,0,29.5,0.18,62,45,53.5
23,2013-02-17,23:20:00.000Z,-121.83459640000001,37.25117468,BLOSSOM HILL RD,WEST VALLEY FR,1,0,0,BLOSSOM HILL RD & WEST VALLEY FR,40,10800,188,37000,47.0,0,42.5,0.17,63,47,55.0
24,2013-02-24,19:27:00.000Z,-121.9975387,37.29241445,LAWRENCE EX,PROSPECT RD,0,1,1,LAWRENCE EX & PROSPECT RD,35,5100,35,17650,39.0,0,36.0,0.04,63,45,54.0
25,2013-02-25,18:58:00.000Z,-121.9360269,37.32708563,BELLEROSE DR,FOREST AV,0,1,2,300' east of BELLEROSE DR & FOREST AV,35,3800,14,6050,36.5,0,33.0,0.14,64,46,55.0
26,2013-02-26,01:01:00.000Z,-121.87084920000001,37.31331628,BELLEVUE AV,MONTEREY RD,1,0,1,BELLEVUE AV & MONTEREY RD,25,4830,19,7950,29.5,0,26.5,0.08,64,46,55.0
27,2013-03-01,18:56:00.000Z,-121.9500675,37.30904683,WILLIAMS RD,WINCHESTER BL,0,1,2,WILLIAMS RD & WINCHESTER BL,35,12800,45,7300,39.3,0,35.7,0.08,63,48,55.5
28,2013-03-01,18:36:00.000Z,-121.8465874,37.2658688,BRANHAM LN,VISTAPARK DR,0,1,1,BRANHAM LN & VISTAPARK DR,35,3350,24,8250,40.0,0,35.0,0.08,63,48,55.5
29,2013-03-04,20:31:00.000Z,-121.86270320000001,37.35674946,MCKEE RD,THIRTY FOURTH ST,0,2,1,MCKEE RD & THIRTY FOURTH ST,35,8200,197,17650,36.3,0,32.5,0.09,63,46,54.5
30,2013-03-05,16:17:00.000Z,-121.8237983,37.2988016,CAPITOL EX,TUERS RD,1,0,1,135' east of CAPITOL EX & TUERS RD,30,5000,13,1950,32.5,0,28.5,0.12,63,47,55.0
31,2013-03-09,02:00:00.000Z,-121.9085127,37.32102331,AUZERAIS AV,LINCOLN AV,0,1,2,AUZERAIS AV & LINCOLN AV,25,5950,34,5250,28.5,0,24.5,0.11,65,46,55.5
32,2013-03-13,14:30:00.000Z,-121.83055719999999,37.23274613,SNELL AV,SUISSE DR,0,1,2,SNELL AV & SUISSE DR,30,8180,5,1800,32.3,0,29.5,0.14,66,47,56.5
33,2013-03-13,15:42:00.000Z,-121.90348359999999,37.22581281,CAMDEN AV,COLEMAN RD,0,1,0,CAMDEN AV & COLEMAN RD,40,10750,27,9900,43.0,0,39.3,0.14,66,47,56.5
34,2013-03-13,05:36:00.000Z,-121.8271466,37.36635711,ALUM ROCK AV,STEWART AV,0,1,1,ALUM ROCK AV & STEWART AV,30,8658,110,23950,34.0,0,30.0,0.14,66,47,56.5
35,2013-03-19,17:12:00.000Z,-121.86965330000001,37.34611438,SANTA CLARA ST,TWENTY SECOND ST,0,3,0,SANTA CLARA ST & TWENTY SECOND ST,25,7300,21,2600,29.7,0,27.0,0.04,69,49,59.0
36,2013-03-21,05:34:00.000Z,-121.853328,37.37776172,CEDARVILLE LN,MABURY RD,0,1,0,355' west of CEDARVILLE LN & MABURY RD,35,3400,16,10250,39.0,0,36.0,0.1,67,49,58.0
37,2013-03-23,00:18:00.000Z,-121.92305470000001,37.34077641,ALAMEDA ,HEDDING ST,0,2,0,ALAMEDA  & HEDDING ST,35,5300,31,16100,39.0,1,35.5,0.08,66,48,57.0
38,2013-03-26,02:01:00.000Z,-121.86119099999999,37.3035989,CURTNER AV,MONTEREY RD,1,0,0,150' north of CURTNER AV & MONTEREY RD,40,4100,17,9100,39.7,0,36.0,0.07,67,47,57.0
