,Unnamed: 0,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,year,month,day,hour,Accident
0,1319,37.3550112,-121.8877608,30,3800.0,35.0,10900.0,33.5,0,29.5,0.02,70,47,58.5,2015.0,4.0,9.0,2.0,0
1,435,-121.90923640000001,37.24773819,35,4000.0,67.0,21000.0,37.5,0,35.0,0.06,63,45,54.0,2015.0,11.0,20.0,23.0,1
2,34,-121.8271466,37.36635711,30,8658.0,110.0,23950.0,34.0,0,30.0,0.14,66,47,56.5,2013.0,3.0,13.0,5.0,1
3,546,-121.93968819999999,37.41978831,35,3450.0,6.0,8550.0,39.5,0,36.0,0.0,81,56,68.5,2016.0,6.0,20.0,12.0,1
4,1232,37.3305315,-121.88495800000001,20,3250.0,41.0,5500.0,23.0,0,18.0,0.01,78,55,66.5,2014.0,10.0,7.0,18.0,0
5,1330,37.2182497,-121.8783639,25,1550.0,1.0,3100.0,29.0,0,27.0,0.05,70,49,59.5,2014.0,4.0,18.0,19.0,0
6,874,37.36580429999999,-121.86978459999999,25,1900.0,9.0,2200.0,32.0,1,25.0,0.06,74,52,63.0,2017.0,5.0,16.0,10.0,0
7,941,37.332954799999996,-121.8676652,25,800.0,12.0,5100.0,34.0,1,25.0,0.03,75,51,63.0,2015.0,5.0,7.0,15.0,0
8,243,-121.87603270000001,37.25698506,35,13450.0,54.0,7200.0,37.3,0,33.3,0.0,82,57,69.5,2014.0,9.0,11.0,13.0,1
9,617,-121.9500675,37.30904683,35,12800.0,45.0,7300.0,39.3,0,35.7,0.04,74,53,63.5,2016.0,10.0,20.0,9.0,1
10,1293,37.3200755,-121.87767109999999,35,4100.0,103.0,16000.0,36.5,0,32.0,0.0,79,58,68.5,2014.0,9.0,14.0,3.0,0
11,998,37.2553608,-121.8982855,35,4950.0,36.0,15700.0,39.0,0,35.5,0.0,82,58,70.0,2016.0,9.0,4.0,0.0,0
12,1038,37.263009999999994,-121.87683020000001,40,5290.0,19.0,21000.0,43.0,0,40.3,0.04,57,40,48.5,2013.0,12.0,26.0,13.0,0
13,278,-121.9238064,37.31728816,40,2700.0,27.0,24400.0,45.0,0,41.0,0.07,61,44,52.5,2014.0,11.0,25.0,8.0,1
14,1155,37.3255657,-121.94500020000001,35,2500.0,37.0,22000.0,36.0,0,32.0,0.0,76,53,64.5,2016.0,10.0,11.0,11.0,0
15,1118,37.3215618,-121.8043469,25,4200.0,7.0,2000.0,32.0,1,25.0,0.11,66,47,56.5,2017.0,3.0,24.0,1.0,0
16,1136,37.4036297,-121.98749199999999,35,5000.0,15.0,13600.0,39.5,0,36.0,0.08,66,47,56.5,2013.0,11.0,11.0,19.0,0
17,689,-121.83911950000001,37.3796997,35,3400.0,16.0,10250.0,39.0,0,36.0,0.13,62,47,54.5,2017.0,2.0,16.0,17.0,1
18,611,-121.8309213,37.26169248,40,6000.0,21.0,9750.0,43.5,0,39.0,0.0,77,53,65.0,2016.0,10.0,14.0,6.0,1
19,917,37.2744799,-121.8935378,25,4350.0,8.0,2200.0,31.0,0,26.5,0.03,69,47,58.0,2015.0,4.0,5.0,2.0,0
20,931,37.3161475,-121.93194409999998,35,2960.0,56.0,23700.0,39.5,0,33.5,0.0,83,60,71.5,2013.0,8.0,9.0,19.0,0
21,1185,37.33878989999999,-121.891369,25,5050.0,51.0,5150.0,28.5,0,25.0,0.03,81,56,68.5,2013.0,6.0,16.0,17.0,0
22,178,-121.84961340000001,37.26560409,35,3350.0,24.0,8250.0,40.0,0,35.0,0.02,61,43,52.0,2014.0,2.0,1.0,2.0,1
23,281,-121.88063400000001,37.32860531,30,5700.0,67.0,11950.0,30.5,0,26.5,0.13,58,44,51.0,2014.0,12.0,14.0,0.0,1
24,180,-122.00338629999999,37.323005,40,9750.0,86.0,28200.0,41.0,0,36.7,0.02,61,44,52.5,2014.0,2.0,5.0,15.0,1
25,1098,37.31402070000001,-121.791719,40,10990.0,71.0,25800.0,43.7,0,39.3,0.04,77,54,65.5,2014.0,5.0,23.0,0.0,0
26,1246,37.43105980000001,-121.96461140000001,25,1250.0,0.0,1250.0,29.0,0,25.0,0.09,60,43,51.5,2016.0,1.0,25.0,18.0,0
27,511,-121.90253659999999,37.32139742,25,5950.0,34.0,5250.0,28.5,0,24.5,0.02,70,47,58.5,2016.0,4.0,9.0,14.0,1
28,105,-121.88814850000001,37.33482156,25,8166.0,47.0,8750.0,29.0,0,25.7,0.0,83,60,71.5,2013.0,8.0,9.0,20.0,1
29,599,-121.830919,37.25877661,40,6000.0,21.0,9750.0,43.5,0,39.0,0.02,82,57,69.5,2016.0,9.0,22.0,18.0,1
30,596,-121.92329270000002,37.31070177,35,5200.0,68.0,12150.0,37.5,0,33.5,0.0,78,57,67.5,2016.0,9.0,15.0,23.0,1
31,289,-121.8866162,37.30919537,35,2950.0,29.0,13200.0,37.5,0,34.5,0.23,56,42,49.0,2014.0,12.0,29.0,5.0,1
32,644,-121.84331740000002,37.31591186,35,8000.0,75.0,8050.0,41.0,0,37.0,0.07,61,43,52.0,2016.0,12.0,1.0,19.0,1
33,661,-121.77535120000002,37.22855063,45,9000.0,45.0,17100.0,47.5,0,43.3,0.12,57,41,49.0,2016.0,12.0,27.0,18.0,1
34,1004,37.4252179,-121.9726778,30,2640.0,1.0,900.0,34.0,0,30.0,0.06,59,41,50.0,2016.0,12.0,17.0,23.0,0
35,833,-121.8685433,37.27119458,40,7200.0,32.0,10600.0,42.3,0,38.7,0.03,60,42,51.0,2017.0,12.0,4.0,13.0,1
36,1298,37.23559059999999,-121.87097299999999,30,1000.0,0.0,1210.0,37.0,1,30.0,0.04,65,48,56.5,2014.0,11.0,16.0,15.0,0
37,214,-121.882944,37.36612543,35,3200.0,35.0,24100.0,36.0,0,33.0,0.03,81,56,68.5,2014.0,6.0,16.0,6.0,1
38,1241,37.26192100000001,-121.921139,40,2350.0,20.0,19700.0,41.5,0,37.5,0.13,66,49,57.5,2017.0,11.0,10.0,6.0,0
39,579,-121.91405800000001,37.27919962,35,10250.0,82.0,17700.0,39.0,0,35.3,0.0,82,59,70.5,2016.0,8.0,14.0,20.0,1
40,615,-121.85465590000001,37.27452407,25,1000.0,3.0,3950.0,31.0,1,27.0,0.0,75,52,63.5,2016.0,10.0,18.0,9.0,1
41,568,-121.85365159999998,37.33274106,35,8200.0,197.0,17650.0,36.3,0,32.5,0.0,82,60,71.0,2016.0,7.0,24.0,21.0,1
42,1123,37.3245453,-121.90050359999998,35,2180.0,18.0,6250.0,39.0,0,35.0,0.09,66,47,56.5,2017.0,3.0,25.0,13.0,0
43,1331,37.294434700000004,-121.92273059999998,35,8250.0,72.0,9950.0,40.0,0,36.0,0.05,73,53,63.0,2015.0,10.0,23.0,8.0,0
44,630,-121.8483835,37.36643634,35,8200.0,197.0,17650.0,36.3,0,32.5,0.0,69,48,58.5,2016.0,11.0,5.0,7.0,1
45,491,-121.8636834,37.27465092,35,2300.0,28.0,12100.0,39.0,0,35.0,0.2,64,46,55.0,2016.0,2.0,27.0,8.0,1
46,1060,37.3208766,-121.9111988,25,5950.0,34.0,5250.0,28.5,0,24.5,0.08,61,44,52.5,2017.0,12.0,9.0,18.0,0
47,192,-121.8784838,37.31063592,40,2100.0,33.0,20200.0,42.0,0,38.0,0.01,70,47,58.5,2014.0,3.0,30.0,1.0,1
48,754,-121.8800521,37.27801049,30,2400.0,1.0,3200.0,33.0,0,30.0,0.03,81,56,68.5,2017.0,6.0,16.0,13.0,1
49,120,-121.8764908,37.33649539,30,14650.0,183.0,25700.0,34.3,0,30.5,0.0,80,58,69.0,2013.0,9.0,18.0,12.0,1
50,183,-121.8656394,37.32577366,35,4100.0,103.0,16000.0,36.5,0,32.0,0.12,65,47,56.0,2014.0,2.0,21.0,20.0,1
51,48,-121.8356216,37.37511471,35,8200.0,197.0,17650.0,36.3,0,32.5,0.03,69,49,59.0,2013.0,4.0,6.0,20.0,1
52,300,-121.7965916,37.29784078,35,3600.0,46.0,22900.0,39.0,0,34.0,0.11,59,45,52.0,2015.0,1.0,26.0,12.0,1
53,640,-121.82901070000001,37.27245836,35,1925.0,9.0,8700.0,39.0,0,34.0,0.04,64,47,55.5,2016.0,11.0,18.0,3.0,1
54,658,-121.9788085,37.30488643,35,9300.0,20.0,11050.0,39.0,0,35.0,0.06,59,41,50.0,2016.0,12.0,17.0,13.0,1
55,1117,37.2363591,-121.9036358,40,9000.0,22.0,23600.0,44.3,0,40.3,0.13,58,44,51.0,2014.0,12.0,14.0,2.0,0
56,12,-121.8486271,37.3456072,35,4000.0,43.0,11400.0,37.0,0,34.0,0.11,59,45,52.0,2013.0,1.0,26.0,10.0,1
57,1131,37.310359399999996,-122.0135873,35,5100.0,35.0,17650.0,39.0,0,36.0,0.04,57,40,48.5,2014.0,12.0,26.0,15.0,0
58,684,-121.9416767,37.43437821,45,6650.0,5.0,3200.0,47.5,0,41.5,0.12,62,44,53.0,2017.0,2.0,10.0,14.0,1
59,509,-121.82706280000001,37.31631076,30,1550.0,26.0,6850.0,31.0,0,27.0,0.03,69,47,58.0,2016.0,4.0,5.0,23.0,1
60,1096,37.4152016,-121.9531406,35,500.0,8.0,7400.0,39.3,0,35.0,0.0,83,56,69.5,2016.0,9.0,20.0,7.0,0
61,1127,37.3330193,-121.87132549999998,25,3855.0,5.0,1400.0,28.0,0,24.0,0.0,83,59,71.0,2014.0,7.0,17.0,23.0,0
62,814,-121.8916878,37.33766024,20,3250.0,33.0,4300.0,21.5,0,19.5,0.0,78,55,66.5,2017.0,10.0,6.0,17.0,1
63,601,-121.881557,37.32406234,30,2000.0,47.0,17000.0,33.0,0,30.0,0.0,80,56,68.0,2016.0,9.0,29.0,16.0,1
64,907,37.341944899999994,-121.8595078,25,2150.0,9.0,2000.0,31.0,1,25.0,0.03,62,46,54.0,2017.0,11.0,21.0,13.0,0
65,210,-121.73734250000001,37.26818152,35,5200.0,4.0,9250.0,39.0,0,35.5,0.01,77,55,66.0,2014.0,6.0,3.0,11.0,1
66,1336,37.3415549,-121.8917494,25,6800.0,83.0,7650.0,30.5,0,26.5,0.05,68,50,59.0,2016.0,4.0,17.0,19.0,0
67,2,-121.8811707,37.27464511,35,1950.0,14.0,10100.0,38.0,0,34.0,0.12,58,42,50.0,2013.0,1.0,4.0,5.0,1
68,629,-121.8755926,37.36271984,40,6650.0,32.0,12400.0,41.5,0,38.0,0.0,70,49,59.5,2016.0,11.0,4.0,7.0,1
69,1260,37.341412299999995,-121.8622732,25,4400.0,42.0,7550.0,29.5,0,26.0,0.03,74,51,62.5,2017.0,5.0,5.0,22.0,0
70,117,-121.88212970000001,37.40332487,35,8700.0,47.0,13850.0,40.0,0,36.0,0.0,82,57,69.5,2013.0,9.0,11.0,21.0,1
71,6,-121.84593059999999,37.34277067,35,8200.0,197.0,17650.0,36.3,0,32.5,0.07,59,42,50.5,2013.0,1.0,17.0,19.0,1
72,1308,37.349545,-121.90413600000001,25,1930.0,7.0,6900.0,28.0,0,24.5,0.0,75,52,63.5,2013.0,5.0,14.0,2.0,0
73,860,37.3036263,-121.8610665,40,17800.0,240.0,40700.0,42.3,0,38.0,0.0,82,59,70.5,2015.0,8.0,4.0,20.0,0
74,359,-121.8306122,37.34838405,35,8350.0,140.0,20900.0,38.0,0,33.7,0.0,81,56,68.5,2015.0,6.0,17.0,23.0,1
75,1017,37.222309100000004,-121.7860617,30,3000.0,5.0,1800.0,38.0,1,30.0,0.09,60,43,51.5,2015.0,1.0,25.0,15.0,0
76,1108,37.2148343,-121.867204,25,2380.0,0.0,1300.0,29.5,0,25.5,0.05,66,46,56.0,2014.0,3.0,8.0,10.0,0
77,280,-121.86119099999999,37.3035989,40,4100.0,17.0,9100.0,39.7,0,36.0,0.03,59,44,51.5,2014.0,12.0,13.0,3.0,1
78,785,-121.7659172,37.3223535,35,2900.0,0.0,1150.0,39.0,0,35.0,0.0,82,59,70.5,2017.0,8.0,15.0,21.0,1
