Accident_Date,Accident_Time,LATITUDE,LONGITUDE,AStreet,BStreet,FatalInjuries,MajorInjuries,Involving,Nearest_Intersection,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,Accident
1/2/13,14:00:00.000Z,37.25063906,-121.9373795,DICKENS AV,SAMARITAN DR,0,1,0,DICKENS AV & SAMARITAN DR,35,4250,16,19900,39,0,35,0.17,58,42,50,1
1/2/13,18:09:00.000Z,37.3796997,-121.8391195,PATT AV,WHITE RD,1,0,1,PATT AV & WHITE RD,35,3400,16,10250,39,0,36,0.17,58,42,50,1
1/4/13,05:50:00.000Z,37.27464511,-121.8811707,HILLSDALE AV,NEWBERRY DR,0,1,2,HILLSDALE AV & NEWBERRY DR,35,1950,14,10100,38,0,34,0.12,58,42,50,1
1/4/13,17:41:00.000Z,37.36338547,-121.9065865,FOURTH ST,GISH RD,0,1,0,517' north of FOURTH ST & GISH RD,25,1865,1,1600,25,0,22,0.12,58,42,50,1
1/7/13,02:46:00.000Z,37.32685645,-121.8836323,FIRST ST,REED ST,1,0,0,240' south of FIRST ST & REED ST,20,3250,33,4300,21.5,0,19.5,0.12,58,42,50,1
1/15/13,17:38:00.000Z,37.35365137,-121.8537958,ALUM ROCK AV,EASTGATE AV,0,1,2,ALUM ROCK AV & EASTGATE AV,35,3054,30,29000,41,0,36,0.08,58,42,50,1
1/17/13,19:32:00.000Z,37.34277067,-121.8459306,KING RD,SINCLAIR FR,0,1,2,KING RD & SINCLAIR FR,35,8200,197,17650,36.3,0,32.5,0.07,59,42,50.5,1
1/17/13,08:00:00.000Z,37.37008225,-121.8430265,CAPITOL AV,MCKEE RD,0,1,1,CAPITOL AV & MCKEE RD,35,18700,76,21150,40,0,36,0.07,59,42,50.5,1
1/21/13,18:24:00.000Z,37.31257391,-121.8701071,MONTEREY RD,SAN JOSE AV,0,1,1,MONTEREY RD & SAN JOSE AV,25,3000,31,6350,30.5,0,27.5,0.07,59,42,50.5,1
1/23/13,22:21:00.000Z,37.23835635,-121.8011663,CAMINO VERDE DR,INTERNATIONAL CI,0,2,0,159' west of CAMINO VERDE DR & INTERNATIONAL CI,25,3550,10,2900,30,0,27.5,0.1,59,42,50.5,1
