Date,Time,Precip,Air max,min,obs
20000101,2359,0,55,44,49.5
20000102,1600,0,63,37,53
20000103,1600,0,58,37,57
20000104,1600,0,58,38,57
20000105,1600,0,59,38,58
20000106,1600,0,58,38,58
20000107,1600,0,58,40,57
20000108,2359,0,57,45,51
20000109,2359,0,57,46,51.5
20000110,1600,0,60,45,58
20000111,1600,0.05,63,49,57
20000112,1600,0.09,57,46,56
20000113,1600,0,64,46,59
20000114,1600,0,62,46,62
20000115,2359,0,70,51,60.5
20000116,2359,0.43,61,47,54
20000117,2359,0.16,54,46,50
20000118,1600,0.36,69,47,63
20000119,1600,0.3,64,51,60
20000120,1600,0,60,54,57
20000121,1600,0,63,44,60
20000122,2359,0.12,63,46,54.5
20000123,2359,1.42,59,53,56
20000124,1600,1.66,63,47,55
20000125,1600,0.9,60,53,57
20000126,1600,0,57,48,57
20000127,1600,0,61,45,61
20000128,1600,0,61,39,56
20000129,2359,0.04,65,40,52.5
20000130,2359,0.04,58,47,52.5
20000131,1600,0.13,63,41,56
20000201,1600,0,65,52,63
20000202,1600,0,66,47,66
20000203,1600,0.22,67,48,51
20000204,1600,0,62,48,59
20000205,2359,0,60,50,55
20000206,2359,0,67,43,55
20000207,1600,0,66,45,60
20000208,1600,0,67,50,62
20000209,1600,0,63,50,58
20000210,1600,0.21,58,53,55
20000211,1600,0.1,60,48,54
20000212,2359,0.04,56,45,50.5
20000213,2359,0.67,60,51,55.5
20000214,1600,1.84,62,45,59
20000215,1600,0,62,43,59
20000216,1600,0.1,60,49,52
20000217,1600,0,60,42,58
20000218,1600,0,62,43,62
20000219,2359,0,66,44,55
20000220,1600,0.2,66,45,54
20000221,2359,0.04,66,49,57.5
20000222,1600,0.28,66,45,52
20000223,1600,1.1,54,44,51
20000224,1600,0.07,53,38,49
20000225,1600,0.06,61,46,60
20000226,2359,0.2,61,53,57
20000227,2359,0.39,58,48,53
20000228,1600,0.03,63,48,56
20000229,1600,0.35,57,47,56
20000301,1600,0,63,44,61
20000302,1600,0.14,62,49,54
20000303,1600,0.04,64,45,64
20000304,1600,0.01,64,44,59
20000305,2359,0.16,51,47,49
20000306,1600,0.69,60,44,56
20000307,1600,0.01,57,46,52
20000308,1600,0.51,55,41,48
20000309,1600,0.29,60,41,59
20000310,1600,0,66,41,63
20000311,1600,0,64,52,63
20000312,2359,0,67,42,54.5
20000313,1600,0,67,44,67
20000314,1600,0,71,44,69
20000315,1600,0,75,49,75
20000316,1600,0,76,49,62
20000317,1600,0,76,44,71
20000318,2359,0,75,45,60
20000319,2359,0,64,48,56
20000320,1600,0,76,47,66
20000321,1600,0,75,55,75
20000322,1600,0,80,51,71
20000323,1600,0,80,51,64
20000324,1600,0,68,45,60
20000325,2359,0,65,45,55
20000326,2359,0,63,42,52.5
20000327,1600,0,66,45,56
20000328,1600,0,64,45,62
20000329,1600,0,69,43,68
20000330,1600,0,76,45,73
20000331,1600,0,82,59,82
20000401,2359,0,83,62,72.5
20000402,2359,0,68,48,58
20000403,1600,0,88,55,77
20000404,1600,0,88,56,67
20000405,2359,0,65,49,57
20000406,1600,0,71,51,64
20000407,1600,0,78,46,77
20000408,2359,0,62,52,57
20000409,2359,0,64,48,56
20000410,1600,0,78,46,70
20000411,1600,0,80,51,77
20000412,1600,0,81,58,72
20000413,1600,0,72,58,69
20000414,1600,0.39,70,53,64
20000415,2359,0,63,53,58
20000416,2359,0.16,65,54,59.5
20000417,1600,0.35,67,52,65
20000418,1600,0,69,45,66
20000419,1600,0,71,45,69
20000420,1600,0,73,50,69
20000421,1600,0,71,51,64
20000422,2359,0,64,46,55
20000423,2359,0,65,43,54
20000424,1600,0,74,44,73
20000425,1600,0,73,48,71
20000426,1600,0,83,50,82
20000427,1600,0,83,50,61
20000428,1600,0,65,50,63
20000429,2359,0,71,43,57
20000430,2359,0,76,46,61
20000501,1600,0,80,45,73
20000502,1600,0,75,59,74
20000503,1600,0,76,53,74
20000504,1600,0,76,53,69
20000505,1600,0,70,54,68
20000506,2359,0,62,45,53.5
20000507,2359,0,64,53,58.5
20000508,1600,0.09,72,47,70
20000509,1600,0,71,56,68
20000510,1600,0,71,52,62
20000511,1600,0,68,49,67
20000512,1600,0,71,45,69
20000513,2359,0,67,48,57.5
20000514,2359,0,64,50,57
20000515,1600,0.17,70,50,59
20000516,1600,0.13,70,50,60
20000517,1600,0.01,74,55,73
20000518,1600,0,84,53,79
20000519,1600,0,87,55,85
20000520,2359,0,87,55,71
20000521,2359,0,97,58,77.5
20000522,1600,0,96,59,89
20000523,1600,0,90,65,83
20000524,1600,0,84,61,78
20000525,1600,0,79,55,72
20000526,1600,0,75,55,74
20000527,2359,0,74,57,65.5
20000528,2359,0,78,57,67.5
20000529,2359,0,71,51,61
20000530,1600,0,81,52,72
20000531,1600,0,83,51,82
20000601,1600,0,90,51,88
20000602,1600,0,89,56,73
20000603,2359,0,71,54,62.5
20000604,2359,0,70,54,62
20000605,1600,0,76,55,74
20000606,1600,0,76,53,74
20000607,1600,0,76,53,72
20000608,1600,0.29,73,54,63
20000609,1600,0.01,71,53,69
20000610,2359,0,70,51,60.5
20000611,2359,0,74,49,61.5
20000612,1600,0,82,51,80
20000613,1600,0,100,60,100
20000614,1600,0,109,71,108
20000615,1600,0,108,72,87
20000616,1600,0,89,60,81
20000617,1600,0,82,59,59
20000618,2359,0,78,60,69
20000619,1600,0,88,59,83
20000620,1600,0,90,59,88
20000621,1600,0,90,62,88
20000622,1600,0,88,59,75
20000623,1600,0,83,55,76
20000624,2359,0,76,55,65.5
20000625,2359,0,79,60,69.5
20000626,1600,0,88,56,86
20000627,1600,0,88,56,87
20000628,1600,0,87,60,80
20000629,1600,0,82,59,77
20000630,1600,0,77,59,72
20000701,2359,0,73,55,64
20000702,2359,0,70,53,61.5
20000703,1600,0,74,56,71
20000704,2359,0,75,52,63.5
20000705,1600,0,79,53,72
20000706,1600,0,73,55,70
20000707,1600,0,74,54,73
20000708,2359,0,76,54,65
20000709,2359,0,79,55,67
20000710,1600,0,85,54,78
20000711,1600,0,83,57,79
20000712,1600,0,80,58,78
20000713,1600,0,78,57,75
20000714,1600,0,82,57,81
20000715,2359,0,74,54,64
20000716,2359,0,70,59,64.5
20000717,1600,0,83,57,72
20000718,1600,0,82,55,81
20000719,1600,0,82,57,79
20000720,1600,0,81,56,77
20000721,1600,0,77,57,73
20000722,1600,0,79,57,78
20000723,1600,0,89,56,88
20000724,1600,0,90,59,87
20000725,1600,0,88,56,82
20000726,1600,0,83,58,76
20000727,1600,0,81,56,80
20000728,1600,0,83,57,82
20000729,1600,0,88,58,88
20000730,1600,0,89,58,89
20000731,1600,0,93,58,92
20000801,1600,0,93,58,92
20000802,1600,0,92,66,90
20000803,1600,0,94,68,89
20000804,1600,0,90,62,87
20000805,1600,0,87,60,79
20000806,1600,0,82,58,79
20000807,1600,0,79,58,75
20000808,1600,0,78,62,74
20000809,1600,0,79,61,76
20000810,1600,0,78,60,76
20000811,1600,0,90,54,89
20000812,1600,0,90,60,87
20000813,1600,0,90,56,86
20000814,1600,0,90,58,89
20000815,1600,0,89,57,87
20000816,1600,0,93,58,93
20000817,1600,0,93,59,85
20000818,1600,0,85,55,77
20000819,1600,0,79,57,74
20000820,2359,0,79,49,64
20000821,1600,0,86,54,82
20000822,1600,0,82,56,78
20000823,1600,0,79,57,74
20000824,1600,0,86,60,85
20000825,1600,0,89,60,86
20000826,1600,0,86,57,77
20000827,1600,0,84,55,80
20000828,1600,0,82,57,78
20000829,1600,0,69,59,66
20000830,1600,0.01,74,59,73
20000831,1600,0,76,61,72
20000901,1600,0.06,72,59,63
20000902,1600,0.03,74,58,71
20000903,1600,0,75,51,72
20000904,1600,0,74,52,73
20000905,1600,0,80,52,79
20000906,1600,0,87,54,87
20000907,1600,0,94,56,93
20000908,1600,0,93,58,80
20000909,1600,0,81,54,76
20000910,1600,0,83,53,78
20000911,1600,0,87,53,85
20000912,1600,0,87,57,82
20000913,1600,0,89,65,84
20000914,1600,0,84,70,76
20000915,1600,0,76,60,74
20000916,1600,0,80,62,79
20000917,1600,0,95,59,93
20000918,1600,0,99,63,96
20000919,1600,0,99,65,97
20000920,1600,0,97,67,85
20000921,1600,0,77,61,73
20000922,1600,0.03,73,61,72
20000923,1600,0,78,55,77
20000924,1600,0,83,50,82
20000925,1600,0,85,57,84
20000926,1600,0,84,58,75
20000927,1600,0,76,60,73
20000928,1600,0,73,60,65
20000929,1600,0,83,53,82
20000930,1600,0,89,57,89
20001001,1600,0,90,61,79
20001002,1600,0,79,59,73
20001003,1600,0,76,55,73
20001004,1600,0,73,55,71
20001005,1600,0,73,55,72
20001006,1600,0,73,58,69
20001007,1600,0,71,59,69
20001008,1600,0,75,59,72
20001009,2359,0,79,54,66.5
20001010,1600,0.42,69,54,61
20001011,1600,0.08,66,53,58
20001012,1600,0,68,51,67
20001013,1600,0,71,49,71
20001014,1600,0,72,49,68
20001015,2359,0,72,52,62
20001016,1600,0,78,50,77
20001017,1600,0,78,53,75
20001018,1600,0,75,54,71
20001019,1600,0,76,59,75
20001020,1600,0,75,55,66
20001021,1600,0,69,53,60
20001022,2359,0,74,54,64
20001023,2359,0,77,43,77
20001024,1600,0,79,54,74
20001025,1600,0.03,75,57,64
20001026,1600,0.44,64,54,60
20001027,1600,0.33,64,54,64
20001028,1600,0,65,50,61
20001029,1600,0.43,62,57,60
20001030,1600,0.42,61,50,56
20001031,1600,0.01,66,45,65
20001101,1600,0,67,45,62
20001102,1600,0,69,47,68
20001103,1600,0,73,48,72
20001104,1600,0,72,48,65
20001105,1600,0,68,48,64
20001106,1600,0,67,48,65
20001107,1600,0,70,49,68
20001108,1600,0,68,48,61
20001109,1600,0,61,48,56
20001110,2359,0,56,41,48.5
20001111,1600,0,56,38,55
20001112,1600,0,58,36,58
20001113,1600,0.07,58,36,50
20001114,1600,0.04,58,38,54
20001115,1600,0,58,40,56
20001116,1600,0,58,47,58
20001117,1600,0,60,37,59
20001118,2359,0,64,35,49.5
20001119,1600,0,62,37,60
20001120,1600,0,64,36,60
20001121,1600,0.09,61,43,55
20001122,1600,0.03,57,48,56
20001123,2359,0,56,42,49
20001124,2359,0,58,43,50.5
20001125,2359,0,58,38,48
20001126,1600,0.01,57,40,56
20001127,1600,0,63,43,58
20001128,1600,0,59,45,59
20001129,1600,0.2,62,47,59
20001130,1600,0,59,42,57
20001201,1600,0,58,42,58
20001202,1600,0,61,33,61
20001203,1600,0,61,39,57
20001204,1600,0,63,42,61
20001205,1600,0,63,44,60
20001206,1600,0,60,43,58
20001207,1600,0,64,51,63
20001208,1600,0.02,64,51,62
20001209,1600,0,62,50,58
20001210,1600,0.02,58,53,56
20001211,1600,0,57,48,55
20001212,1600,0.2,56,47,55
20001213,1600,0,57,45,57
20001214,1600,0.05,60,52,59
20001215,1600,0.02,61,53,60
20001216,1600,0,64,46,62
20001217,1600,0,63,42,62
20001218,1600,0,62,40,61
20001219,2359,0,64,36,50
20001220,2359,0,63,39,62
20001221,1600,0,62,40,61
20001222,1600,0,61,45,57
20001223,1600,0,57,40,55
20001224,2359,0,59,40,49.5
20001225,1600,0,62,41,60
20001226,2359,0,65,34,49.5
20001227,2359,0,67,34,50.5
20001228,2359,0,65,34,49.5
20001229,2359,0,60,34,47
20001230,1600,0,63,35,56
20001231,1600,0,56,43,54
20010101,1600,0,62,38,61
20010102,2359,0,70,34,52
20010103,1600,0,65,37,62
20010104,1600,0,65,37,64
20010105,1600,0,65,38,62
20010106,1600,0,62,37,55
20010107,1600,0,62,42,60
20010108,1600,0.38,60,48,55
20010109,1600,0.03,55,41,50
20010110,1600,0.6,53,47,53
20010111,1600,0.7,53,46,47
20010112,1600,0.1,55,44,54
20010113,1600,0,57,43,53
20010114,1600,0.01,55,47,53
20010115,2359,0,56,32,44
20010116,1600,0,55,34,53
20010117,1600,0,55,33,55
20010118,1600,0,56,35,54
20010119,1600,0,58,44,58
20010120,1600,0,58,41,56
20010121,1600,0,56,37,56
20010122,1600,0,61,38,60
20010123,1600,0.09,61,46,53
20010124,1600,0.38,55,45,53
20010125,1600,0.1,56,41,49
20010126,1600,0.43,56,40,52
20010127,1600,0,56,36,56
20010128,1600,0,57,36,56
20010129,1600,0.05,56,43,55
20010130,1600,0,57,41,55
20010131,1600,0,60,34,59
20010201,1600,0,63,36,61
20010202,1600,0,63,40,61
20010203,2359,0,68,40,54
20010204,1600,0,72,42,70
20010205,1600,0,70,45,56
