OBJECTID,STREET,ROUTE,START,END_,SPD,DATE,CD,PD,LEN,ACC,VOL,RATE,TYPE,F85th,NEW,LOCAL,MEAN_SPD,BGN_PACE,PRCNT_PACE,Jurisdiction,on_hold,reason_for_on_hold,Comment,F50th,GlobalID,Shape__Length
1,AIRPORT BL,,COLEMAN AV,SKYPORT DR,35,2018-12-11T00:00:00.000Z,3,,7200,7,14450,0.32,"2-3, undivided",41,,0,,32,76,CITY,0,,,37,f5dc6440-d9db-4a40-8cb0-0ed11c17d6f3,7305.00707183575
2,AIRPORT PW,,AIRPORT BL,MATRIX BL,35,2019-02-06T00:00:00.000Z,3,,2500,13,18350,1.37,"3-4, divided/undivided",39,,0,,29,78,CITY,0,,,35,65c51cf8-c29d-4a1d-849d-e2a120e2e0a5,2368.6409553376
3,ALLEN AV,,SANTA TERESA BL,BLOSSOM HILL RD,30,2016-11-10T00:00:00.000Z,10,Y,3700,5,3500,1.86,"2, divided",32.5, ,0,,23,81,CITY,0,,,28.5,1f46bbae-d525-4737-b6cd-25f3c22d019f,3728.7677932193
4,ALMA  AV,A,FIRST ST,SENTER RD,35,2018-06-28T00:00:00.000Z,7,L,3970,20,9300,2.61,"4, undivided",37.5, ,0,,30,90,CITY,0,,,34,5eaaaf47-04d0-44fe-b862-d145d88bc23f,4024.42417656024
5,ALMA AV,B,VINE ST,FIRST ST,30,2018-06-28T00:00:00.000Z,3,L,2000,47,17000,6.67,"4, undivided",33, ,0,,25,92,CITY,0,,,30,e1bdea8e-b680-45f7-949d-36da54ca6f51,1986.74577188281
6,ALMA AV,C,MINNESOTA ST,VINE  ST,35,2018-06-28T00:00:00.000Z,3,L,2950,29,13200,3.59,"2, 4, undivided",37.5, ,0,,30,88,CITY,0,,,34.5,50c02bf1-1a88-40a5-b497-5d95db2fb394,3039.23089494629
7,ALMADEN AV,,ALMA AV,REED ST,30,2016-02-15T00:00:00.000Z,3,E,5000,50,7900,6.1,"2, undivided",33.3,,0,,26,87,CITY,0,,,30,19f56f72-4e5e-4e3c-a37b-c255128c8fce,5070.87006863013
8,ALMADEN BL,,100' N/O GRANT ST,SANTA CLARA ST,30,2017-04-27T00:00:00.000Z,3,S,4300,22,13100,1.88,"4 - 6, divided",33.5, ,0,,24,78,CITY,0,,,29,25bad76e-3781-49e9-b8f2-120bfa93cc16,4114.57419181637
9,ALMADEN EX,,SR-87,SAN JOSE AV,45,2012-12-06T00:00:00.000Z,7,L,2200,9,13500,1.46,"4, divided",48, ,0,,39,86,CITY,0,,,44,d81922fe-4144-44fc-9c84-1161b53e11d0,2258.79354898821
10,ALMADEN EX,,SAN JOSE AV,ALMA AV,40,2012-12-06T00:00:00.000Z,7,L,2100,33,20200,3.75,"4, divided",42, ,0,,33,90,CITY,0,,,38,b47a0521-796c-4eda-ba1c-ec06d30de71c,2153.13548564257
11,ALMADEN RD,,IRONWOOD DR,ALMADEN EX,35,2017-04-25T00:00:00.000Z,6,T,7000,23,9000,1.76,"2, 4, divided/undivided",37.5, ,0,,29,83,CITY,0,,,34,c5a30a12-ad1a-4848-977d-95671e04bb1a,7305.17265927725
12,ALMADEN RD,,McKEAN RD,ALMADEN EX,40,2014-09-22T00:00:00.000Z,10,A,3250,6,5300,1.68,"2, undivided w/ 2-way LT lane",42, ,0,,33,82,CITY,0,,,38,79ba976c-8e67-4129-b042-73a33adf3349,3511.44891987215
13,ALUM ROCK AV,,US 101,CAPITOL AV,30,2018-03-16T00:00:00.000Z,5,W,8658,110,23950,2.56,"4, divided",34, ,0,,25,90,CITY,0,,,30,080ccb9f-f73b-4149-9838-031a6a9591b2,8608.03344245112
14,ALUM ROCK AV,,MANNING AV,MT. HAMILTON RD,40,1995-08-28T00:00:00.000Z,5,W,7000,46,,2.5,,41, ,0,,,,STATE,0,,,,1a8bbd25-14dd-462a-9ce3-11193752f60d,6960.54048902697
15,ALUM ROCK RD,,CANON VISTA DR,EAST TERMINUS,15,1997-09-16T00:00:00.000Z,5,W,6330,6,600,7.69,b c / 2,22, ,0,18.800000,17,88,CITY,1,Permanent road closure,,,582d8c62-b9be-4f08-a930-a3b1e76ae531,8237.41225203018
16,ALVIN AV,,FLANIGAN DR,TULLY RD,30,2013-08-12T00:00:00.000Z,8,P,1550,26,6850,11.81,"2, undivided",31,,0,,22,87,CITY,0,,,27,6a6b09ba-e6b2-4556-a3c8-4cd8dc77836d,1571.62021179974
17,AUTUMN ST,,SANTA CLARA ST,JULIAN ST,25,2018-03-16T00:00:00.000Z,3,E,1580,5,3000,5.09,"2, undivided",29.5, ,0,,22,88,CITY,0,,,26,93b579c8-f57e-428c-a56d-367709d97b18,1579.94277863754
18,AVENIDA ROTELLA,,VIA DEL ORO,AVENIDA ESPANA,25,2016-04-02T00:00:00.000Z,2,Y,4000,8,2700,3.57,"2, undivided",27, ,0,,19,85,CITY,0,,,23.5,9d48ccd1-9ea1-4201-8d84-e7806dd76da7,4022.01099995846
19,BAILEY AV,,MCKEAN RD,SANTA TERESA BL (7200' w/o),35,2012-11-21T00:00:00.000Z,2,Y,5000,3,3500,0.83,"2, undivided",41, ,0,,33,89,CITY,0,,,37,603cafd4-d2cb-425a-8607-2087786e9417,5077.1244881088
20,BASCOM AV,,HAMILTON AV,FRUITDALE AV,35,2012-03-08T00:00:00.000Z,6,S,6000,52,22150,1.89,"6, undivided",39, ,0,,32,87,CITY,0,,,35.5,f859eb6c-d004-4f24-a282-bd544903ec46,5971.79349634076
21,BASCOM AV,,ELLIOTT ST,NEWHALL ST,35,2012-02-10T00:00:00.000Z,6,F,6450,76,18400,3.04,"4-6, divided",38, ,0,,30,79,CITY,0,,,33.5,40f7af32-237a-4b3e-bcf6-1c1422d1bfdf,6555.12666239974
22,BASCOM AV,,DRY CREEK RD (800' N/O),CURTNER AV (500' S/O),40,2011-08-03T00:00:00.000Z,9,T,4250,56,20400,3.11,"6, divided",43, ,0,,34,72,CITY,0,,,39,608d5276-bf04-49d1-ba51-31d015dac330,4085.51235757256
23,BASKING RIDGE AV,,SOUTH END,SILICON VALLEY BL,30,2017-10-04T00:00:00.000Z,2,Y,4640,1,4500,0.23,"2, undivided",34.7, ,0,,24,80,CITY,0,,,30.7,960568ba-6eb4-4db1-9fab-67868660876c,4502.36921662422
24,BAYPOINTE PW,,BAYPOINTE DR,ZANKER RD,35,2016-04-12T00:00:00.000Z,4,R,2950,6,3300,2.97,"2, undivided",37, ,0,,29,84,CITY,0,,,32.5,db92fbc2-d528-4acc-9092-29025a93e46d,2129.11255660949
