LONGITUDE,LATITUDE,Date,AStreet,BStreet,FatalInjuries,MajorInjuries,Involving,Nearest_Intersection,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th
-121.8762462,37.25906315,20160318,ALMADEN EX,CHERRY AV,0,1,1,ALMADEN EX & CHERRY AV,35,13450,54,7200,37.3,0,33.3
-121.815356,37.35872687,20160315,LANCELOT LN,STORY RD,0,1,1,LANCELOT LN & STORY RD,30,3650,5,4800,33,0,30
-121.8191599,37.35614669,20170323,STORY RD,WHITE RD,0,1,2,STORY RD & WHITE RD,30,2600,25,6150,33.5,0,29.5
-121.8275758,37.32406985,20170328,KING RD,SEMINOLE WY,0,1,1,KING RD & SEMINOLE WY,35,5400,38,11050,39.3,0,34.7
-121.8528861,37.30675217,20170331,PARROTT ST,TENTH ST,0,1,0,PARROTT ST & TENTH ST,40,5000,37,12800,42.5,0,39
-121.871524,37.32790781,20170518,SINCLAIR FR,TENTH ST,1,0,0,SINCLAIR FR & TENTH ST,40,5000,37,12800,42.5,0,39
-121.8942724,37.25745548,20170508,BRANHAM LN,VIA DE CABALLE ,1,0,0,BRANHAM LN & VIA DE CABALLE ,30,5400,9,3850,34.5,0,31
-121.9016637,37.30927091,20170316,EL ABRA WY,LINCOLN AV,0,1,0,EL ABRA WY & LINCOLN AV,30,3775,19,11300,32.5,0,29.5
-121.8848355,37.3476956,20170317,ELEVENTH ST,WASHINGTON ST,0,1,0,ELEVENTH ST & WASHINGTON ST,30,14650,183,25700,34.3,0,30.5
-121.8881042,37.32519689,20170321,ALMADEN BL,REED ST,0,1,1,ALMADEN BL & REED ST,25,2900,17,5100,30,1,25
-121.8055271,37.24621337,2017-03-23T22:15:00.000Z,BESWICK DR,HERLONG AV,0,1,2,102' east of BESWICK DR & HERLONG AV,35,2700,11,7150,39,0,35
-121.8816485,37.32610041,2016-07-01T23:05:00.000Z,MARGARET ST,SECOND ST,0,1,0,96' north of MARGARET ST & SECOND ST,30,3100,24,14650,34,0,30
-121.9046742,37.26794904,2016-06-28T20:36:00.000Z,HILLSDALE AV,MERIDIAN AV,0,1,0,HILLSDALE AV & MERIDIAN AV,35,4950,36,15700,39,0,35.5
-121.9238064,37.31728816,2016-07-04T17:25:00.000Z,LEIGH AV,PARKMOOR AV,0,1,2,LEIGH AV & PARKMOOR AV,40,2700,27,24400,45,0,41
-121.6888507,37.16744225,2016-07-24T03:00:00.000Z,LIVE OAK AV,MONTEREY RD,1,0,0,2640' north of LIVE OAK AV & MONTEREY RD,45,10240,103,39950,47,0,42
-121.8970511,37.35059615,2015-06-08T15:10:00.000Z,FOURTH ST,TAYLOR ST,0,1,0,FOURTH ST & TAYLOR ST,25,1865,1,1600,25,0,22
-121.8542859,37.28021781,2017-05-12T23:20:00.000Z,HILLSDALE AV,VISTAPARK DR,1,1,0,100' west of HILLSDALE AV & VISTAPARK DR,35,2600,3,3650,37,0,33
-121.8673274,37.22135797,2016-08-28T21:16:00.000Z,BOSE LN,CAMDEN AV,2,1,0,BOSE LN & CAMDEN AV,35,1600,13,15800,36,0,33
-121.736417,37.20113363,2016-07-03T07:52:00.000Z,BAILEY AV,SANTA TERESA BL,0,1,0,5280' west of BAILEY AV & SANTA TERESA BL,50,13100,22,6500,55.5,0,48.5
-121.9384475,37.2506327,2013-05-24T07:43:00.000Z,COOPER AV,SAMARITAN DR,0,1,2,COOPER AV & SAMARITAN DR,35,3900,6,8300,38,0,34
-121.9221349,37.30784488,2013-04-27T23:04:00.000Z,COLLEGE DR,LEIGH AV,0,1,0,COLLEGE DR & LEIGH AV,40,2700,27,24400,45,0,41
-121.8785979,37.27305942,2014-03-05T21:00:00.000Z,ALMADEN EX,CHARD DR,1,0,1,ALMADEN EX & CHARD DR,25,4375,1,2050,29.7,0,27
-121.9011983,37.32420542,2013-05-20T22:57:00.000Z,ROYAL AV,SAN CARLOS ST,0,1,0,251' west of ROYAL AV & SAN CARLOS ST,35,2180,18,6250,39,0,35
-121.8602805,37.24226583,2013-07-05T11:25:00.000Z,COLEMAN RD,SANTA TERESA BL,0,1,2,COLEMAN RD & SANTA TERESA BL,40,4350,29,21300,44,0,40
-121.8372551,37.29810428,2013-03-31T23:41:00.000Z,LEWIS RD,ROCK RIVER CT,0,2,0,LEWIS RD & ROCK RIVER CT,30,3900,23,6250,32.5,0,29.5
-121.8363708,37.35095159,2013-08-13T16:21:00.000Z,BAMBI LN,JACKSON AV,0,1,0,BAMBI LN & JACKSON AV,35,8350,140,20900,38,0,33.7
-121.8689861,37.24300043,2013-05-27T14:00:00.000Z,COLEMAN RD,WINFIELD BL,0,1,1,COLEMAN RD & WINFIELD BL,35,6350,41,13000,38,0,34.5
-121.7942794,37.31357492,2013-07-28T23:30:00.000Z,ABORN CT,ABORN RD,0,1,1,75' east of ABORN CT & ABORN RD,40,10990,71,25800,43.7,0,39.3
-121.8811724,37.28915076,2013-08-02T20:09:00.000Z,ALMADEN EX,IRONWOOD DR,0,1,2,ALMADEN EX & IRONWOOD DR,35,7000,23,9000,37.5,0,34
-121.8778242,37.30742284,2015-02-07T19:55:00.000Z,ALMADEN EX,SAN JOSE AV,1,0,2,ALMADEN EX & SAN JOSE AV,45,2200,9,13500,48,0,44
-121.9026937,37.31070086,2014-06-23T21:57:00.000Z,BROADWAY AV,LINCOLN AV,0,1,1,BROADWAY AV & LINCOLN AV,30,3775,19,11300,32.5,0,29.5
-121.8270195,37.35083834,2016-03-05T23:02:00.000Z,CAPITOL EX,STORY RD,0,1,1,CAPITOL EX & STORY RD,35,8200,196,28850,40.5,0,36.5
-121.8710127,37.37591331,2013-08-06T10:23:00.000Z,BERRYESSA RD,JUNESONG WY,0,1,0,BERRYESSA RD & JUNESONG WY,40,12600,56,15950,43.5,0,39.3
-121.9170763,37.36532319,2016-07-04T07:01:00.000Z,SKYPORT DR,TECHNOLOGY DR,0,1,0,SKYPORT DR & TECHNOLOGY DR,35,2200,8,10400,38,0,33
-121.8510548,37.25972667,2015-06-04T17:24:00.000Z,CHYNOWETH AV,HYDE PARK DR,0,1,2,CHYNOWETH AV & HYDE PARK DR,30,2400,9,2860,37,1,30
-121.8577153,37.36013096,2014-10-03T07:34:00.000Z,CHECKERS DR,MCKEE RD,0,1,1,CHECKERS DR & MCKEE RD,35,8200,197,17650,36.3,0,32.5
-121.9226978,37.23918598,2013-04-24T15:56:00.000Z,ANNE WY,LEIGH AV,0,1,0,ANNE WY & LEIGH AV,35,5250,12,5900,39.5,0,35.5
-121.8537958,37.35365137,2013-04-27T21:50:00.000Z,ALUM ROCK AV,EASTGATE AV,0,1,1,ALUM ROCK AV & EASTGATE AV,35,3054,30,29000,41,0,36
-121.9023448,37.35388157,2013-05-16T14:14:00.000Z,HEDDING ST,SECOND ST,0,1,1,HEDDING ST & SECOND ST,35,3700,10,11750,39,0,34.5
-121.8440282,37.35398049,2013-05-01T09:47:00.000Z,PRESERVATION DR,SAN ANTONIO ST,1,0,1,150' west of PRESERVATION DR & SAN ANTONIO ST,35,4000,43,11400,37,0,34
-121.9062178,37.32622722,2013-08-14T14:20:00.000Z,PARK AV,SUNOL ST,0,1,0,PARK AV & SUNOL ST,25,920,4,2900,28,0,25
-121.7965916,37.29784078,2015-01-26T12:01:00.000Z,EDENWOOD DR,YERBA BUENA RD,1,0,1,EDENWOOD DR & YERBA BUENA RD,35,3600,46,22900,39,0,34
