X,Y,AccidentId,AccidentDateTime,AStreetNameAndSuffix,BStreetNameAndSuffix,FatalInjuries,MajorInjuries,ESRI_OID,Fatal_MajorInjuries,Involving,Nearest_Intersection,GlobalID
-121.876246164925263,37.259063146820161,558275,2016-03-18T01:20:00.000Z,ALMADEN EX,CHERRY AV,0,1,1,1,Pedestrian,ALMADEN EX & CHERRY AV,0b4df3db-15c0-49b3-b21f-01f5438c6947
-121.815355965122691,37.358726872674112,558224,2016-03-15T07:58:00.000Z,LANCELOT LN,STORY RD,0,1,2,1,Pedestrian,LANCELOT LN & STORY RD,dc7bf623-bc2c-4b46-9f60-7296e6f027cb
-121.819159859588581,37.356146690792841,565024,2017-03-23T05:42:00.000Z,STORY RD,WHITE RD,0,1,3,1,Bicyclist,STORY RD & WHITE RD,883bf1ba-7815-46a3-a948-fadcd1bec71e
-121.827575797510207,37.32406984803518,565098,2017-03-28T20:00:00.000Z,KING RD,SEMINOLE WY,0,1,4,1,Pedestrian,KING RD & SEMINOLE WY,91d8ce3a-42f8-4a8b-a7e0-f6ecac585bed
-121.852886140141152,37.306752170378608,565129,2017-03-31T15:01:00.000Z,PARROTT ST,TENTH ST,0,1,5,1,Motorist,PARROTT ST & TENTH ST,f6f072f7-c829-442c-8943-e7d9d7d08485
-121.871524044258223,37.327907811010732,565160,2017-05-18T20:09:00.000Z,SINCLAIR FR,TENTH ST,1,0,6,1,Motorist,SINCLAIR FR & TENTH ST,4daf24f6-0043-40e4-8a4a-d90368542665
-121.89427240671202,37.25745547918909,565162,2017-05-08T05:18:00.000Z,BRANHAM LN,VIA DE CABALLE ,1,0,7,1,Motorist,BRANHAM LN & VIA DE CABALLE ,389860b0-546e-407f-b184-74706ad4cbde
-121.901663664887053,37.309270905463912,564915,2017-03-16T20:29:00.000Z,EL ABRA WY,LINCOLN AV,0,1,8,1,Motorist,EL ABRA WY & LINCOLN AV,5316c4c6-d55c-4b9f-88d0-184d6e4d6d4d
-121.88483549608064,37.347695596824764,564941,2017-03-17T17:54:00.000Z,ELEVENTH ST,WASHINGTON ST,0,1,9,1,Motorist,ELEVENTH ST & WASHINGTON ST,435ab9c8-7d2c-4e91-beb7-c85bd002c1af
-121.888104245606669,37.325196892819356,564990,2017-03-21T12:30:00.000Z,ALMADEN BL,REED ST,0,1,10,1,Pedestrian,ALMADEN BL & REED ST,0ce4b590-78d8-4c12-a195-50e0429503b4
-121.805527107753193,37.246213367412629,565033,2017-03-23T22:15:00.000Z,BESWICK DR,HERLONG AV,0,1,11,1,Bicyclist,102' east of BESWICK DR & HERLONG AV,a61e883f-6b33-43b2-b74f-cbdb765ab632
-121.881648526189693,37.326100407298526,560484,2016-07-01T23:05:00.000Z,MARGARET ST,SECOND ST,0,1,12,1,Motorist,96' north of MARGARET ST & SECOND ST,9c9bf549-5d18-4454-ba6b-c5589cebe9b2
-121.904674227193155,37.267949036661811,560503,2016-06-28T20:36:00.000Z,HILLSDALE AV,MERIDIAN AV,0,1,13,1,Motorist,HILLSDALE AV & MERIDIAN AV,341fc1e9-6262-4130-90b3-6d390b6706aa
-121.923806421865009,37.317288159097906,560530,2016-07-04T17:25:00.000Z,LEIGH AV,PARKMOOR AV,0,1,14,1,Bicyclist,LEIGH AV & PARKMOOR AV,cea1c47f-b17b-4b84-ab8f-79e618bdefa0
-121.919285731486866,37.337589090802446,560533,2016-07-04T22:16:00.000Z,ALAMEDA ,NAGLEE ST,0,1,15,1,Motorist,ALAMEDA  & NAGLEE ST,647da0d5-1fae-4f22-9450-b9ccd566bf64
-121.94624303430605,37.243592445491885,560541,2015-08-29T12:00:00.000Z,CAMINO DEL CERRO ,LOS GATOS ALMADEN RD,0,1,16,1,Bicyclist,60' east of CAMINO DEL CERRO  & LOS GATOS ALMADEN RD,c2652f8a-ae38-49e8-b795-bd86e9b665cc
-121.688850735129478,37.16744224627864,560543,2016-07-24T03:00:00.000Z,LIVE OAK AV,MONTEREY RD,1,0,17,1,Motorist,2640' north of LIVE OAK AV & MONTEREY RD,3d70f2e4-2ab5-4d64-a3f9-e27a15a43e87
-121.897051091837128,37.350596153033074,553255,2015-06-08T15:10:00.000Z,FOURTH ST,TAYLOR ST,0,1,18,1,Motorist,FOURTH ST & TAYLOR ST,3aef1950-1563-471b-841d-5519882663dc
-121.854285934096922,37.280217814463342,565161,2017-05-12T23:20:00.000Z,HILLSDALE AV,VISTAPARK DR,1,1,19,2,Motorist,100' west of HILLSDALE AV & VISTAPARK DR,df31cf33-88db-444b-a978-970cca0809b7
-121.823980423209832,37.302412857748706,565181,2017-06-05T03:52:00.000Z,CRAY CT,MCLAUGHLIN AV,1,0,20,1,Motorist,50' north of CRAY CT & MCLAUGHLIN AV,b6f8e975-b4cd-4f20-94cf-f9355aaa92bd
-121.859026224256596,37.338137963349958,560481,2016-08-26T20:50:00.000Z,MCLAUGHLIN AV,MELBOURNE BL,1,0,21,1,Pedestrian,450' south of MCLAUGHLIN AV & MELBOURNE BL,4c9581cb-3eeb-4c4f-ba74-030a96302ce3
-121.867327381807215,37.221357968839939,560546,2016-08-28T21:16:00.000Z,BOSE LN,CAMDEN AV,2,1,22,3,Motorist,BOSE LN & CAMDEN AV,498b2591-d782-45a0-bb18-06060dfbcf0c
-121.843256893376179,37.322070038671804,560514,2016-07-03T15:43:00.000Z,GLENFINNAN DR,MCLAUGHLIN AV,0,1,23,1,Pedestrian,GLENFINNAN DR & MCLAUGHLIN AV,34aa8803-7092-4ed5-b294-a83818a0ac82
-121.736416973154533,37.20113363161353,560511,2016-07-03T07:52:00.000Z,BAILEY AV,SANTA TERESA BL,0,1,24,1,Motorist,5280' west of BAILEY AV & SANTA TERESA BL,5aa6fe97-8c8c-4fdc-8f6c-d6536f5d7111
-121.938447509397747,37.250632699270355,542758,2013-05-24T07:43:00.000Z,COOPER AV,SAMARITAN DR,0,1,25,1,Bicyclist,COOPER AV & SAMARITAN DR,6813aa3d-8d2b-4a67-a04d-61f75b0fe632
-121.922134930461596,37.307844883366698,541449,2013-04-27T23:04:00.000Z,COLLEGE DR,LEIGH AV,0,1,26,1,Motorist,COLLEGE DR & LEIGH AV,ca055479-b9b9-40b9-b52d-76d8eca87619
-121.878597895832456,37.273059417857795,540237,2014-03-05T21:00:00.000Z,ALMADEN EX,CHARD DR,1,0,27,1,Pedestrian,ALMADEN EX & CHARD DR,03a96582-b583-4815-ac5e-1e121b68a292
-121.901198303005771,37.324205422914112,542269,2013-05-20T22:57:00.000Z,ROYAL AV,SAN CARLOS ST,0,1,28,1,Motorist,251' west of ROYAL AV & SAN CARLOS ST,b9986732-3024-45ec-bcc0-89948fb980bc
-121.86028052669397,37.242265832973018,542327,2013-07-05T11:25:00.000Z,COLEMAN RD,SANTA TERESA BL,0,1,29,1,Bicyclist,COLEMAN RD & SANTA TERESA BL,9fe5528e-be47-4a44-aa72-09900bb4f64d
-121.837255069330297,37.298104280941793,540973,2013-03-31T23:41:00.000Z,LEWIS RD,ROCK RIVER CT,0,2,30,2,Motorist,LEWIS RD & ROCK RIVER CT,44d0ba1a-a664-4735-aa87-e24a391ffeb5
-121.836370831865267,37.350951590122683,542976,2013-08-13T16:21:00.000Z,BAMBI LN,JACKSON AV,0,1,31,1,Motorist,BAMBI LN & JACKSON AV,19d792d7-1cf9-44bc-aced-a9209501b6b7
-121.868986102858642,37.243000428294835,542963,2013-05-27T14:00:00.000Z,COLEMAN RD,WINFIELD BL,0,1,32,1,Pedestrian,COLEMAN RD & WINFIELD BL,43c0abf8-2c8f-4f09-95c2-5452a6831129
-121.794279405880587,37.313574915593392,547666,2013-07-28T23:30:00.000Z,ABORN CT,ABORN RD,0,1,33,1,Pedestrian,75' east of ABORN CT & ABORN RD,6645efc8-2f05-439e-b267-fef47b078de0
