Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
SANJOSE.C,20000101,2359,0,,55,44,,,,,,,,,,,,,
SANJOSE.C,20000102,1600,0,,63,37,53,,,,,,,,,,,,
SANJOSE.C,20000103,1600,0,,58,37,57,,,,,,,,,,,,
SANJOSE.C,20000104,1600,0,,58,38,57,,,,,,,,,,,,
SANJOSE.C,20000105,1600,0,,59,38,58,,,,,,,,,,,,
SANJOSE.C,20000106,1600,0,,58,38,58,,,,,,,,,,,,
SANJOSE.C,20000107,1600,0,,58,40,57,,,,,,,,,,,,
SANJOSE.C,20000108,2359,0,,57,45,,,,,,,,,,,,,
SANJOSE.C,20000109,2359,0,,57,46,,,,,,,,,,,,,
SANJOSE.C,20000110,1600,0,,60,45,58,,,,,,,,,,,,
SANJOSE.C,20000111,1600,0.05,,63,49,57,,,,,,,,,,,,
SANJOSE.C,20000112,1600,0.09,,57,46,56,,,,,,,,,,,,
SANJOSE.C,20000113,1600,0,,64,46,59,,,,,,,,,,,,
SANJOSE.C,20000114,1600,0,,62,46,62,,,,,,,,,,,,
SANJOSE.C,20000115,2359,0,,70,51,,,,,,,,,,,,,
SANJOSE.C,20000116,2359,0.43,,61,47,,,,,,,,,,,,,
SANJOSE.C,20000117,2359,0.16,,54,46,,,,,,,,,,,,,
SANJOSE.C,20000118,1600,0.36,,69,47,63,,,,,,,,,,,,
SANJOSE.C,20000119,1600,0.3,,64,51,60,,,,,,,,,,,,
SANJOSE.C,20000120,1600,0,,60,54,57,,,,,,,,,,,,
SANJOSE.C,20000121,1600,0,,63,44,60,,,,,,,,,,,,
SANJOSE.C,20000122,2359,0.12,,63,46,,,,,,,,,,,,,
SANJOSE.C,20000123,2359,1.42,,59,53,,,,,,,,,,,,,
SANJOSE.C,20000124,1600,1.66,,63,47,55,,,,,,,,,,,,
SANJOSE.C,20000125,1600,0.9,,60,53,57,,,,,,,,,,,,
SANJOSE.C,20000126,1600,0,,57,48,57,,,,,,,,,,,,
SANJOSE.C,20000127,1600,0,,61,45,61,,,,,,,,,,,,
SANJOSE.C,20000128,1600,0,,61,39,56,,,,,,,,,,,,
SANJOSE.C,20000129,2359,0.04,,65,40,,,,,,,,,,,,,
SANJOSE.C,20000130,2359,0.04,,58,47,,,,,,,,,,,,,
SANJOSE.C,20000131,1600,0.13,,63,41,56,,,,,,,,,,,,
SANJOSE.C,20000201,1600,0,,65,52,63,,,,,,,,,,,,
SANJOSE.C,20000202,1600,0,,66,47,66,,,,,,,,,,,,
SANJOSE.C,20000203,1600,0.22,,67,48,51,,,,,,,,,,,,
SANJOSE.C,20000204,1600,0,,62,48,59,,,,,,,,,,,,
SANJOSE.C,20000205,2359,0,,60,50,,,,,,,,,,,,,
SANJOSE.C,20000206,2359,0,,67,43,,,,,,,,,,,,,
SANJOSE.C,20000207,1600,0,,66,45,60,,,,,,,,,,,,
SANJOSE.C,20000208,1600,0,,67,50,62,,,,,,,,,,,,
SANJOSE.C,20000209,1600,0,,63,50,58,,,,,,,,,,,,
SANJOSE.C,20000210,1600,0.21,,58,53,55,,,,,,,,,,,,
SANJOSE.C,20000211,1600,0.1,,60,48,54,,,,,,,,,,,,
SANJOSE.C,20000212,2359,0.04,,56,45,,,,,,,,,,,,,
SANJOSE.C,20000213,2359,0.67,,60,51,,,,,,,,,,,,,
SANJOSE.C,20000214,1600,1.84,,62,45,59,,,,,,,,,,,,
SANJOSE.C,20000215,1600,0,,62,43,59,,,,,,,,,,,,
SANJOSE.C,20000216,1600,0.1,,60,49,52,,,,,,,,,,,,
SANJOSE.C,20000217,1600,0,,60,42,58,,,,,,,,,,,,
SANJOSE.C,20000218,1600,0,,62,43,62,,,,,,,,,,,,
SANJOSE.C,20000219,2359,0,,66,44,,,,,,,,,,,,,
SANJOSE.C,20000220,1600,0.2,,66,45,54,,,,,,,,,,,,
SANJOSE.C,20000221,2359,0.04,,66,49,,,,,,,,,,,,,
SANJOSE.C,20000222,1600,0.28,,66,45,52,,,,,,,,,,,,
SANJOSE.C,20000223,1600,1.1,,54,44,51,,,,,,,,,,,,
SANJOSE.C,20000224,1600,0.07,,53,38,49,,,,,,,,,,,,
SANJOSE.C,20000225,1600,0.06,,61,46,60,,,,,,,,,,,,
SANJOSE.C,20000226,2359,0.2,,61,53,,,,,,,,,,,,,
SANJOSE.C,20000227,2359,0.39,,58,48,,,,,,,,,,,,,
SANJOSE.C,20000228,1600,0.03,,63,48,56,,,,,,,,,,,,
SANJOSE.C,20000229,1600,0.35,,57,47,56,,,,,,,,,,,,
SANJOSE.C,20000301,1600,0,,63,44,61,,,,,,,,,,,,
SANJOSE.C,20000302,1600,0.14,,62,49,54,,,,,,,,,,,,
SANJOSE.C,20000303,1600,0.04,,64,45,64,,,,,,,,,,,,
SANJOSE.C,20000304,1600,0.01,,64,44,59,,,,,,,,,,,,
